,0
1316,EP031975
1317,AL061982
1318,EP111970
1319,EP112001
1320,AL081870
1321,AL052001
1322,AL052015
1323,AL302005
1324,EP061961
1325,AL031927
1326,EP012006
1327,EP022003
1328,AL011912
1329,AL111999
1330,EP062013
1331,AL101951
1332,EP011995
1333,AL121909
1334,EP111983
1335,EP131989
1336,AL062004
1337,AL161949
1338,AL212003
1339,AL031943
1340,EP111972
1341,AL111973
1342,AL041952
1343,EP091979
1344,AL071935
1345,AL161971
1346,AL011976
1347,EP041972
1348,AL041994
1349,AL051973
1350,EP122013
1351,AL151972
1352,AL021965
1353,EP071986
1354,EP061966
1355,AL171988
1356,EP122003
1357,AL041928
1358,AL071995
1359,AL021963
1360,AL061975
1361,EP051949
1362,EP051954
1363,AL081933
1364,AL121991
1365,AL052007
1366,CP012000
1367,AL101998
1368,EP132008
1369,AL181981
1370,EP161994
1371,AL021906
1372,AL091924
1373,EP052006
1374,AL011894
1375,EP132013
1376,AL102006
1377,EP042000
1378,AL101887
1379,AL051886
1380,AL011966
1381,AL061859
1382,EP021990
1383,AL051912
1384,EP071960
1385,AL031874
1386,AL031924
1387,EP051965
1388,AL011887
1389,AL051873
1390,AL122013
1391,AL031857
1392,EP042011
1393,AL061976
1394,AL071997
1395,EP141974
1396,AL011996
1397,EP101987
1398,AL081893
1399,AL122004
1400,EP011980
1401,AL061967
1402,EP012011
1403,AL082003
1404,EP031953
1405,EP091974
1406,EP031976
1407,EP111994
1408,AL191988
1409,AL101981
1410,EP181994
1411,CP011988
1412,CP011997
1413,EP171978
1414,EP011991
1415,EP171988
1416,AL061993
1417,AL171972
1418,EP011976
1419,EP112009
1420,EP051971
1421,AL181980
1422,AL161979
1423,AL012011
1424,AL082007
1425,AL071948
1426,AL111985
1427,AL011947
1428,AL072010
1429,AL121951
1430,EP111997
1431,AL231975
1432,EP191997
1433,AL011986
1434,AL162008
1435,AL081936
1436,AL021972
1437,AL092002
1438,EP162005
1439,AL021920
1440,AL101954
1441,AL151970
1442,AL091899
1443,AL041871
1444,AL071874
1445,AL031902
1446,EP161968
1447,AL061952
1448,AL011964
1449,AL031858
1450,AL201975
1451,CP032006
1452,AL011890
1453,EP071961
1454,AL011954
1455,AL111961
1456,AL212005
1457,EP111995
1458,AL011895
1459,AL031916
1460,EP041983
1461,AL051933
1462,AL122001
1463,EP021984
1464,AL031854
1465,AL061862
1466,CP011998
1467,EP162012
1468,EP022012
1469,AL131933
1470,EP111987
1471,AL042002
1472,AL071943
1473,AL061954
1474,AL141967
1475,EP102008
1476,EP111991
1477,EP221985
1478,AL211978
1479,EP161988
1480,AL021912
1481,AL031923
1482,EP031977
1483,EP021972
1484,EP011968
1485,EP111990
1486,AL052009
1487,EP162002
1488,AL141973
1489,AL131973
1490,EP151978
1491,AL021874
1492,AL071996
1493,EP051996
1494,AL051923
1495,AL091975
1496,AL172003
1497,AL121949
1498,AL092012
1499,AL101968
1500,EP052009
1501,AL011862
1502,AL071865
1503,AL142007
1504,AL051887
1505,EP101968
1506,EP082009
1507,AL081994
1508,EP031989
1509,AL032004
1510,AL022008
1511,AL031994
1512,EP021957
1513,EP111968
1514,AL041852
1515,AL061999
1516,EP051962
1517,AL031939
1518,AL041971
1519,AL091943
1520,AL011985
1521,EP182013
1522,AL011928
1523,EP111981
1524,AL101989
1525,EP191989
1526,AL132007
1527,EP091997
1528,EP191984
1529,EP051988
1530,AL081964
1531,AL011980
1532,CP011978
1533,EP031967
1534,CP011959
1535,EP062011
1536,AL031931
1537,EP151970
1538,EP041992
1539,AL022014
1540,EP081962
1541,AL011857
1542,EP122011
1543,EP202006
1544,EP032002
1545,AL011886
1546,AL021949
1547,AL042003
1548,EP141992
1549,AL112003
1550,EP031969
1551,EP071980
1552,EP101992
1553,EP172012
1554,EP061975
1555,AL081879
1556,AL061965
1557,EP081966
1558,AL131934
1559,EP171994
1560,EP031962
1561,AL111887
1562,EP251992
1563,AL011865
1564,EP081992
1565,EP182015
1566,EP082015
1567,AL051897
1568,AL171974
1569,AL031940
1570,AL021930
1571,EP121973
1572,AL071916
1573,EP081988
1574,EP131971
1575,AL131954
1576,EP082012
1577,AL221975
1578,AL071963
1579,AL171984
1580,AL011933
1581,AL091867
1582,AL111974
1583,EP091972
1584,AL091892
1585,EP071958
1586,EP071971
1587,AL111954
1588,EP181985
1589,CP021992
1590,EP172006
1591,EP082010
1592,AL061880
1593,EP041957
1594,EP061997
1595,AL012015
1596,EP041996
1597,AL191978
1598,AL041993
1599,AL061871
1600,AL021938
1601,AL111945
1602,AL091954
1603,AL041977
1604,EP151982
1605,EP111956
1606,AL031872
1607,AL061927
1608,AL112012
1609,AL051950
1610,AL021967
1611,AL051864
1612,AL121978
1613,AL031853
1614,AL021896
1615,AL101994
1616,EP061981
1617,EP021963
1618,EP061954
1619,EP081977
1620,AL211971
1621,AL051898
1622,AL071979
1623,AL011898
1624,AL131999
1625,AL081952
1626,EP111971
1627,AL031991
1628,AL081990
1629,AL081986
1630,EP181968
1631,AL111870
1632,EP032012
1633,AL021915
1634,AL051989
1635,AL021917
1636,AL101948
1637,AL131989
1638,CP012001
1639,EP032003
1640,AL051862
1641,AL261967
1642,AL031871
1643,EP041964
1644,EP042005
1645,AL021894
1646,AL051928
1647,AL021918
1648,AL071969
1649,AL051900
1650,AL201969
1651,AL152008
1652,AL091898
1653,AL041990
1654,AL091997
1655,EP172009
1656,EP061985
1657,EP021982
1658,EP032014
1659,AL101990
1660,AL011989
1661,AL281969
1662,AL081988
1663,AL101945
1664,AL011903
1665,AL051959
1666,AL122010
1667,AL111956
1668,EP071956
1669,AL141975
1670,AL102010
1671,EP101984
1672,AL061882
1673,CP012004
1674,EP032007
1675,EP271992
1676,AL041864
1677,AL082011
1678,AL122000
1679,AL161974
1680,AL201984
1681,EP161970
1682,AL141936
1683,AL101901
1684,EP031985
1685,AL061906
1686,AL061995
1687,AL081859
1688,AL011879
1689,AL091971
1690,AL101988
1691,AL121988
1692,AL211967
1693,AL071947
1694,AL112011
1695,AL011873
1696,AL131981
1697,AL111995
1698,EP182006
1699,AL031890
1700,EP121982
1701,EP041989
1702,CP011958
1703,AL051896
1704,AL062005
1705,EP151974
1706,AL121954
1707,EP091970
1708,AL081938
1709,EP031999
1710,AL141949
1711,AL061888
1712,AL051881
1713,AL151936
1714,EP072012
1715,AL071945
1716,EP031994
1717,AL041929
1718,EP141988
1719,EP021951
1720,AL021948
1721,EP122006
1722,AL131932
1723,AL081953
1724,EP191983
1725,CP012003
1726,AL051878
1727,EP011971
1728,EP011963
1729,AL021859
1730,AL011934
1731,AL061963
1732,AL161976
1733,AL051962
1734,EP042013
1735,AL011936
1736,AL031868
1737,AL051935
1738,AL041943
1739,EP011982
1740,AL041983
1741,EP061996
1742,EP212014
1743,EP011949
1744,EP042015
1745,CP011963
1746,AL031999
1747,AL031957
1748,AL041920
1749,AL112004
1750,CP021957
1751,AL111916
1752,EP101988
1753,AL022011
1754,AL151979
1755,AL072012
1756,EP051984
1757,AL201978
1758,AL141990
1759,AL141979
1760,AL011992
1761,AL041970
1762,AL052013
1763,AL102005
1764,AL121967
1765,AL061972
1766,AL021962
1767,AL041933
1768,CP021984
1769,AL111979
1770,AL042005
1771,CP011957
1772,EP081968
1773,EP171974
1774,AL182000
1775,EP081959
1776,EP131992
1777,AL031898
1778,EP091996
1779,AL091903
1780,EP011962
1781,EP061970
1782,AL071863
1783,EP031949
1784,AL061926
1785,AL092005
1786,EP051956
1787,EP092008
1788,AL071982
1789,AL041873
1790,EP021956
1791,AL041904
1792,AL161969
1793,AL241978
1794,AL031970
1795,AL111981
1796,EP201983
1797,EP091954
1798,AL061958
1799,AL021935
1800,AL111878
1801,AL011917
1802,AL102001
1803,AL111893
1804,AL011948
1805,AL051904
1806,AL031950
1807,AL122015
1808,AL091948
1809,AL051991
1810,AL021890
1811,AL081960
1812,AL011860
1813,AL061912
1814,AL051977
1815,AL031944
1816,AL031893
1817,AL101924
1818,EP091981
1819,AL011999
1820,EP111976
1821,EP031988
1822,EP081979
1823,AL131980
1824,AL071885
1825,AL142001
1826,AL021921
1827,AL132001
1828,EP211985
1829,AL082008
1830,EP141976
1831,AL101967
1832,EP051986
1833,AL071964
1834,AL091966
1835,AL091974
1836,AL182010
1837,AL011883
1838,CP011984
1839,EP102002
1840,EP141978
1841,EP062000
1842,AL071960
1843,EP051990
1844,AL181988
1845,AL101975
1846,EP042002
1847,EP112015
1848,AL211981
1849,EP031981
1850,AL092014
1851,AL091887
1852,AL011908
1853,EP101993
1854,AL051980
1855,EP071982
1856,EP141968
1857,AL011987
1858,AL081889
1859,AL061870
1860,EP132009
1861,AL061985
1862,AL181979
1863,AL071870
1864,AL011953
1865,EP051982
1866,AL142010
1867,AL041996
1868,AL032003
1869,EP102004
1870,EP121988
1871,AL021922
1872,EP101975
